Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
%@ %@,A label that combines the value and label of a DiveLog stat.,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@
"%@, %@",A label that combines the name of an open source license with its license text.,"%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@",%1$@、%2$@,"%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@"
"%@, %@ m, %@",A label describing a dive. The first argument is the string “Unknown Location”. The second argument is the string “%.1f”. The third argument is the dive duration.,"%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@",%1$@、%2$@ m、%3$@,"%1$@, %2$@m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ μ., %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ ม., %3$@","%1$@, %2$@ m, %3$@"
"%@, %@, %@","A label describing a dive location, maximum depth, and duration. The first argument is the string “Unknown Location”. The third argument is the string “%arg min”.","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@",%1$@、%2$@、%3$@,"%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@"
%@. %@,A label that combines the title and subtitle of a premium feature.,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@
%@: %@,A label that combines the label and value of a detail row.,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@
%@: %@%@,A label that combines the label and the value of a key stat.,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@
%lld,A step indicator in the import wizard. The number inside the circle represents the step number.,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld
%lld dive%@ imported,A description of the number of dives imported and any skipped ones. The first argument is the count of dives imported. The second argument is the count of skipped dives (duplicates).,%1$lld dive%2$@ imported,%1$lld dive%2$@ imported,已匯入 %1$lld 次潛水%2$@,已导入 %1$lld 次潜水%2$@,%1$lld 回のダイビング%2$@を読み込みました,%1$lld개의 다이빙%2$@ 가져옴,%1$lld Tauchgang%2$@ importiert,%1$lld plongée%2$@ importée,%1$lld inmersión%2$@ importada,%1$lld immersione%2$@ importata,%1$lld duik%2$@ geïmporteerd,%1$lld mergulho%2$@ importado,Εισήχθησαν %1$lld καταδύσεις%2$@,Uvezeno %1$lld urona%2$@,%1$lld penyelaman%2$@ diimport,%1$lld selam%2$@ diimport,นำเข้า %1$lld ไดฟ์%2$@ แล้ว,Đã nhập %1$lld lần lặn%2$@
%lld min,A label displaying the dive duration in minutes.,%lld min,%lld min,%lld 分鐘,%lld 分钟,%lld 分,%lld분,%lld min,%lld min,%lld min,%lld min,%lld min,%lld min,%lld λεπ,%lld min,%lld menit,%lld min,%lld นาที,%lld phút
