Key,en,en-GB,de,el,es,fr,hr,id,it,ja,ko,ms,nl,pt-PT,th,vi,zh-Hans,zh-Hant,狀態/判斷
,,,,,,,,,,,,,,,,,,,缺繁中
%@ %@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,系統組合/格式
"%@, %@","%1$@, %2$@",,,,,,,,,,,,,,,,"%1$@, %2$@","%1$@, %2$@",系統組合/格式
"%@, %@ m, %@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ μ., %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@",%1$@、%2$@ m、%3$@,"%1$@, %2$@m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ ม., %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@","%1$@, %2$@ m, %3$@",系統組合/格式
%@. %@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,%1$@. %2$@,系統組合/格式
%@: %@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,%1$@: %2$@,系統組合/格式
%@: %@%@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,%1$@: %2$@%3$@,系統組合/格式
%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,系統組合/格式
%lld dive%@ imported,%1$lld dive%2$@ imported,%1$lld dive%2$@ imported,%1$lld Tauchgang%2$@ importiert,Εισηγμένη καταγραφή %1$lld %2$@,%1$lld inmersión%2$@ importada,%1$lld plongée%2$@ importée,Uvezeno %1$lld urona%2$@,%1$lld penyelaman%2$@ diimport,%1$lld immersione%2$@ importata,%1$lld 回のダイビング%2$@を読み込みました,%1$lld개의 다이빙%2$@ 가져옴,%1$lld selam%2$@ diimport,%1$lld duik%2$@ geïmporteerd,%1$lld mergulho%2$@ importado,นำเข้า %1$lld ไดฟ์%2$@ แล้ว,Đã nhập %1$lld lần lặn%2$@,已导入 %1$lld 次潜水%2$@,已匯入 %1$lld 次潛水%2$@,系統組合/格式
%lld min,%lld min,%lld min,%lld min,%lld λεπ,%lld min,%lld min,%lld min,%lld menit,%lld min,%lld 分,%lld분,%lld min,%lld min,%lld min,%lld นาที,%lld phút,%lld 分钟,%lld 分鐘,系統組合/格式
%lld skipped (duplicates),%lld skipped (duplicates),%lld skipped (duplicates),%lld übersprungen (Duplikate),%lld παραλείφθηκαν (διπλότυπα),%lld omitida(s) (duplicada),%lld ignorée(s) (doublon),%lld preskočeno (duplikati),%lld dilewati (duplikat),%lld ignorata(e) (duplicato),%lld 件スキップ（重複）,%lld개 건너뜀 (중복),%lld dilangkau (pendua),%lld overgeslagen (duplicaten),%lld ignorado (duplicado),ข้าม %lld ไดฟ์ (ซ้ำ),Đã bỏ qua %lld (trùng lặp),已跳过 %lld 笔（重复）,已跳過 %lld 筆（重複）,系統組合/格式
