Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
"%@, %@, %@","A label describing a dive location, maximum depth, and duration. The first argument is the string “Unknown Location”. The third argument is the string “%arg min”.","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@",%1$@、%2$@、%3$@,"%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@","%1$@, %2$@, %3$@"
Air Temperature: %@,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Air Temperature: %@,Air Temperature: %@,氣溫：%@,气温：%@,気温：%@,기온: %@,Lufttemperatur: %@,Température de l'air : %@,Temperatura del aire: %@,Temperatura dell'aria: %@,Luchttemperatuur: %@,Temperatura do ar: %@,Θερμοκρασία αέρα: %@,Temperatura zraka: %@,Suhu Udara: %@,Suhu Udara: %@,อุณหภูมิอากาศ: %@,Nhiệt độ không khí: %@
Ascent Rate Alert,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Ascent Rate Alert,Ascent Rate Alert,上升速度警報,上升速度警报,浮上速度警告,상승 속도 경고,Warnung: Aufstiegsrate,Alerte de vitesse de remontée,Alerta de velocidad de ascenso,Avviso velocità di risalita,Waarschuwing stijgsnelheid,Alerta de velocidade de subida,Ειδοποίηση Ταχύτητας Ανόδου,Upozorenje o brzini uspona,Peringatan Kecepatan Naik,Amaran Kadar Menaik,แจ้งเตือนอัตราการขึ้นสู่ผิวน้ำ,Cảnh báo tốc độ nổi
Ascent rate exceeded 10 m/min (32.8 ft/min).,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Ascent rate exceeded 10 m/min (32.8 ft/min).,Ascent rate exceeded 10 m/min (32.8 ft/min).,上升速度超過 10 公尺/分（32.8 英呎/分）。,上升速度超过 10 米/分（32.8 英尺/分）。,浮上速度が10 m/分（32.8 ft/分）を超えました。,상승 속도가 10 m/분(32.8 ft/분)을 초과했습니다.,"Die Aufstiegsgeschwindigkeit hat 10 m/min (32,8 ft/min) überschritten.","La vitesse de remontée a dépassé 10 m/min (32,8 pi/min).","La velocidad de ascenso superó los 10 m/min (32,8 pies/min).","La velocità di risalita ha superato 10 m/min (32,8 ft/min).","De stijgsnelheid overschreed 10 m/min (32,8 ft/min).","A velocidade de subida excedeu 10 m/min (32,8 pés/min).","Η ταχύτητα ανόδου ξεπέρασε τα 10 μ/λεπτό (32,8 πόδια/λεπτό).","Brzina uspona premašila je 10 m/min (32,8 ft/min).",Kecepatan naik melebihi 10 m/menit (32.8 ft/menit).,Kadar menaik melebihi 10 m/min (32.8 ka/min).,อัตราการขึ้นเกิน 10 ม./นาที (32.8 ฟุต/นาที),"Tốc độ nổi vượt quá 10 m/phút (32,8 ft/phút)."
Import Completed with Issues,出現於：ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）,Import Completed with Issues,Import Completed with Issues,匯入完成，但有問題,导入完成，但有问题,インポート完了（問題あり）,가져오기 완료(문제 있음),Import mit Problemen abgeschlossen,Importation terminée avec des problèmes,Importación completada con problemas,Importazione completata con problemi,Import voltooid met problemen,Importação concluída com problemas,Η εισαγωγή ολοκληρώθηκε με προβλήματα,Uvoz dovršen s problemima,Impor Selesai dengan Masalah,Import selesai dengan isu,นำเข้าเสร็จสิ้นพร้อมปัญหา,Nhập hoàn tất kèm sự cố
Mandatory Safety Stop,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Mandatory Safety Stop,Mandatory Safety Stop,強制安全停留點,强制安全停留点,強制セーフティストップ,필수 안전 정지,Obligatorischer Sicherheitsstopp,Palier de sécurité obligatoire,Parada de seguridad obligatoria,Sosta di sicurezza obbligatoria,Verplichte veiligheidsstop,Paragem de segurança obrigatória,Υποχρεωτική Στάση Ασφαλείας,Obavezno sigurnosno zaustavljanje,Safety stop wajib,Safety stop wajib,เซฟตี้สต็อปบังคับ,Dừng an toàn bắt buộc
Max Depth: %@,Accessibility label｜出現於：DiveLogEditSheet.swift,Max Depth: %@,Max Depth: %@,最大深度：%@,最大深度：%@,最大水深：%@,최대 수심: %@,Max. Tiefe: %@,Profondeur max. : %@,Profundidad máx.: %@,Profondità max: %@,Max. diepte: %@,Profundidade máx.: %@,Μέγιστο βάθος: %@,Maks. dubina: %@,Kedalaman maks.: %@,Kedalaman maks.: %@,ความลึกสูงสุด: %@,Độ sâu tối đa: %@
Safety stop became mandatory: ascent rate stayed above 10 m/min (32.8 ft/min) for 10 seconds.,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Safety stop became mandatory: ascent rate stayed above 10 m/min (32.8 ft/min) for 10 seconds.,Safety stop became mandatory: ascent rate stayed above 10 m/min (32.8 ft/min) for 10 seconds.,安全停留變為強制：上升速度持續高於 10 公尺/分（32.8 英呎/分）達 10 秒。,安全停留变为强制：上升速度持续高于 10 米/分（32.8 英尺/分）达 10 秒。,セーフティストップが必須になりました：浮上速度が10秒間 10 m/分（32.8 ft/分）を超えていました。,세이프티 스톱이 필수로 바뀌었습니다: 상승 속도가 10초 동안 10 m/분(32.8 ft/분)을 초과한 상태였습니다.,"Der Sicherheitsstopp ist jetzt obligatorisch: Die Aufstiegsgeschwindigkeit blieb 10 Sekunden lang über 10 m/min (32,8 ft/min).","Le palier de sécurité est devenu obligatoire : la vitesse de remontée est restée supérieure à 10 m/min (32,8 pi/min) pendant 10 secondes.","La parada de seguridad pasó a ser obligatoria: la velocidad de ascenso se mantuvo por encima de 10 m/min (32,8 pies/min) durante 10 segundos.","La sosta di sicurezza è diventata obbligatoria: la velocità di risalita è rimasta sopra i 10 m/min (32,8 ft/min) per 10 secondi.","De veiligheidsstop werd verplicht: de stijgsnelheid bleef 10 seconden lang boven 10 m/min (32,8 ft/min).","A paragem de segurança tornou-se obrigatória: a velocidade de subida manteve-se acima de 10 m/min (32,8 pés/min) durante 10 segundos.","Η στάση ασφαλείας έγινε υποχρεωτική: η ταχύτητα ανόδου παρέμεινε πάνω από 10 μ/λεπτό (32,8 πόδια/λεπτό) για 10 δευτερόλεπτα.","Sigurnosno zaustavljanje postalo je obavezno: brzina uspona ostala je iznad 10 m/min (32,8 ft/min) 10 sekundi.",Safety stop menjadi wajib: kecepatan naik tetap di atas 10 m/menit (32.8 ft/menit) selama 10 detik.,Safety stop menjadi wajib: kadar naik kekal melebihi 10 m/min (32.8 ka/min) selama 10 saat.,การหยุดพักเพื่อความปลอดภัยกลายเป็นภาคบังคับ: อัตราการขึ้นสู่ผิวน้ำสูงกว่า 10 ม./นาที (32.8 ฟุต/นาที) นานติดต่อกัน 10 วินาที,"Dừng an toàn trở thành bắt buộc: tốc độ lên duy trì trên 10 m/phút (32,8 ft/phút) trong 10 giây."
Some files may contain multiple dives.,出現於：ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）,Some files may contain multiple dives.,Some files may contain multiple dives.,部分檔案可能包含多筆潛水紀錄。,部分文件可能包含多条潜水记录。,一部のファイルには複数のダイビングが含まれている場合があります。,일부 파일에는 여러 다이빙 기록이 포함되어 있을 수 있습니다.,Einige Dateien enthalten möglicherweise mehrere Tauchgänge.,Certains fichiers peuvent contenir plusieurs plongées.,Algunos archivos pueden contener varias inmersiones.,Alcuni file potrebbero contenere più immersioni.,Sommige bestanden kunnen meerdere duiken bevatten.,Alguns ficheiros podem conter vários mergulhos.,Ορισμένα αρχεία ενδέχεται να περιέχουν πολλαπλές καταδύσεις.,Neke datoteke mogu sadržavati više urona.,Beberapa file mungkin berisi beberapa penyelaman.,Sesetengah fail mungkin mengandungi beberapa selaman.,บางไฟล์อาจมีข้อมูลการดำน้ำหลายรายการ,Một số tệp có thể chứa nhiều lượt lặn.
"Tissue nitrogen loading isn't available for trimix dives yet — this is a known limitation, not an error.",出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,"Tissue nitrogen loading isn't available for trimix dives yet — this is a known limitation, not an error.","Tissue nitrogen loading isn't available for trimix dives yet — this is a known limitation, not an error.",Trimix 混合氣體潛水暫不支援組織氮負荷計算 — 此為已知限制，非錯誤。,Trimix 混合气体潜水暂不支持组织氮负荷计算 — 这是已知限制，不是错误。,Trimix（トリミックス）ダイビングの組織窒素負荷はまだ対応していません。これは既知の制限事項であり、エラーではありません。,트라이믹스(Trimix) 다이빙의 조직 질소 부하는 아직 지원되지 않습니다. 이는 알려진 제한 사항이며 오류가 아닙니다.,"Die Gewebestickstoffbelastung ist für Trimix-Tauchgänge noch nicht verfügbar — dies ist eine bekannte Einschränkung, kein Fehler.","La saturation en azote tissulaire n'est pas encore disponible pour les plongées au trimix — il s'agit d'une limitation connue, pas d'une erreur.","La carga de nitrógeno en tejidos aún no está disponible para inmersiones con trimix — esta es una limitación conocida, no un error.","Il carico di azoto nei tessuti non è ancora disponibile per le immersioni trimix: si tratta di una limitazione nota, non di un errore.","Weefselstikstofbelasting is nog niet beschikbaar voor trimixduiken — dit is een bekende beperking, geen fout.","A carga de azoto nos tecidos ainda não está disponível para mergulhos com trimix — esta é uma limitação conhecida, não um erro.","Η φόρτιση αζώτου στους ιστούς δεν είναι ακόμη διαθέσιμη για καταδύσεις trimix — αυτός είναι ένας γνωστός περιορισμός, όχι σφάλμα.","Opterećenje tkiva dušikom još nije dostupno za trimix zarone — ovo je poznato ograničenje, a ne pogreška.","Beban nitrogen jaringan belum tersedia untuk penyelaman trimix — ini adalah batasan yang diketahui, bukan kesalahan.","Beban nitrogen tisu belum tersedia untuk selaman trimix — ini adalah had yang diketahui, bukan ralat.",ยังไม่รองรับการคำนวณการสะสมไนโตรเจนในเนื้อเยื่อสำหรับการดำน้ำแบบ Trimix — นี่เป็นข้อจำกัดที่รับทราบแล้ว ไม่ใช่ข้อผิดพลาด,"Tải lượng nitơ trong mô chưa khả dụng cho các chuyến lặn trimix — đây là giới hạn đã biết, không phải lỗi."
