"in_deco","sec","pressure_0_cylinder","pressure_0_interpolated","temperature","depth","ceiling","ceiling_0","ceiling_1","ceiling_2","ceiling_3","ceiling_4","ceiling_5","ceiling_6","ceiling_7","ceiling_8","ceiling_9","ceiling_10","ceiling_11","ceiling_12","ceiling_13","ceiling_14","ceiling_15","percentage_0","percentage_1","percentage_2","percentage_3","percentage_4","percentage_5","percentage_6","percentage_7","percentage_8","percentage_9","percentage_10","percentage_11","percentage_12","percentage_13","percentage_14","percentage_15","ndl","tts","rbt","stoptime","stopdepth","cns","smoothed","sac","running_sum","pressureo2","pressuren2","pressurehe","o2pressure","o2sensor0","o2sensor1","o2sensor2","o2sensor3","o2sensor4","o2sensor5","o2setpoint","scr_oc_po2","mod","ead","end","eadd","velocity","speed","in_deco_calc","ndl_calc","tts_calc","stoptime_calc","stopdepth_calc","pressure_time","heartbeat","bearing","ambpressure","gfline","surface_gf","density","icd_warning"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0","0","0","STABLE","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.211717","0.801283","0.000000","0","0","0","0","0","0","0","0","0","65734","129","0","99","STABLE","0","0","0","0","0","0","0","0","0","1.013000","87.500000","0.000000","1.215290","0"
"0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","-1","0","0","0","0","0","0","0","0","0.211717","0.801283","0.000000","0","0","0","0","0","0","0","0","0","65734","129","0","99","STABLE","0","0","0","0","0","0","0","0","-1","1.013000","87.500000","0.000000","1.215290","0"
"0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","-1","0","0","0","0","0","203","0","0","0.211717","0.801283","0.000000","0","0","0","0","0","0","0","0","0","65734","129","0","99","STABLE","0","0","0","0","0","0","0","0","-1","1.013000","87.500000","0.000000","1.215290","0"
"0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","-1","0","0","0","0","0","813","0","0","0.211717","0.801283","0.000000","0","0","0","0","0","0","0","0","0","65734","129","0","99","STABLE","0","0","0","0","0","0","0","0","-1","1.013000","87.500000","0.000000","1.215290","0"
"0","40","0","0","0","1830","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","-1","0","0","0","0","0","2033","0","9150","0.250382","0.947618","0.000000","0","0","0","0","0","0","0","0","0","65734","1979","1831","1950","SLOW","183","0","0","0","0","0","0","0","-1","1.198000","83.800000","0.000000","1.437233","0"
"0","50","0","0","0","3660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","-1","0","0","0","0","0","3479","0","36600","0.289047","1.093953","0.000000","0","0","0","0","0","0","0","0","0","65734","3840","3662","3790","MODERATE","183","0","0","0","0","0","0","0","-1","1.383000","80.100000","0.000000","1.659177","0"
"0","60","0","0","0","5490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","-1","0","0","0","0","0","4767","0","82350","0.327712","1.240288","0.000000","0","0","0","0","0","0","0","0","0","65734","5691","5493","5641","MODERATE","183","0","0","0","0","0","0","0","-1","1.568000","76.400000","0.000000","1.881120","0"
"0","70","0","0","0","5693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","24","24","24","24","24","23","23","23","23","23","23","23","23","23","23","-1","0","0","0","0","0","5513","0","138265","0.331892","1.256108","0.000000","0","0","0","0","0","0","0","0","0","65734","5898","5691","5849","SLOW","20","0","0","0","0","0","0","0","-1","1.588000","76.000000","0.000000","1.905114","0"
"0","80","0","0","0","5897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","24","24","23","23","23","23","23","23","23","23","23","23","23","23","23","-1","0","0","0","0","0","5874","0","196215","0.336281","1.272719","0.000000","0","0","0","0","0","0","0","0","0","65734","6096","5898","6057","STABLE","20","0","0","0","0","0","0","0","-1","1.609000","75.580000","0.000000","1.930308","0"
